用例名称,罪犯姓名,罪犯编号,罪犯性别,监区,处遇等级,收容类别,A上账分类,A上账类型,罪犯A上账数额,B上账分类,B上账类型,罪犯B上账数额,处遇额度-总账户,处遇额度-A账户,处遇额度-B账户,处遇-购物次数,消费额度名称,消费额度-总账户,消费额度-A账户,消费额度-B账户,消费额度-购物次数,仓库名称,A1商品名称,A1商品编号,A1商品新零售,A2商品名称,A2商品编号,A2商品新零售,B1商品名称,B1商品编号,B1商品新零售
消费额度-当月有历史消费记录-金额/购物次数限制-总账户-（历史额度记录+A商品+B商品）大于总账户限制金额=消费失败【3个物品/购买3次/AAB】,罪犯10011,14510011,男,B监区一分监区,一级处遇等级{高},新收容,整体上账00002,A上账类型00201,30,整体上账00002,B上账类型00202,30,50,,,,消费额度001,30,,,,所外配送仓库01,A类型1号商品,123001,10,A类型2号商品,123002,10,B类型1号商品,123003,11
消费额度-当月有历史消费记录-金额/购物次数限制-总账户-（历史额度记录+A商品+B商品）等于总账户限制金额=消费成功【3个物品/购买3次/AAB】,罪犯1002,1451002,男,B监区一分监区,一级处遇等级{高},新收容,整体上账00002,A上账类型00201,30,整体上账00002,B上账类型00202,30,50,,,,消费额度002,30,,,,所外配送仓库01,A类型1号商品,123001,10,A类型2号商品,123002,10,B类型1号商品,123003,10
消费额度-当月有历史消费记录-金额/购物次数限制-总账户-（历史额度记录+A商品+B商品）小于总账户限制金额=消费成功【3个物品/购买3次/AAB】,罪犯1003,1451003,男,B监区一分监区,一级处遇等级{高},新收容,整体上账00002,A上账类型00201,30,整体上账00002,B上账类型00202,30,50,,,,消费额度003,30,,,,所外配送仓库01,A类型1号商品,123001,10,A类型2号商品,123002,10,B类型1号商品,123003,9
消费额度-当月有历史消费记录-金额/购物次数限制-A账户-（历史额度记录+A商品+A商品）大于A账户限制金额=消费失败【3个物品/购买3次/AAA】,罪犯1004,1451004,男,B监区一分监区,一级处遇等级{高},新收容,整体上账00002,A上账类型00201,50,整体上账00002,B上账类型00202,,,50,,,消费额度004,,30,,,所外配送仓库01,AB类型1号商品,123005,10,A类型2号商品,123002,10,A类型1号商品,123001,11
消费额度-当月有历史消费记录-金额/购物次数限制-A账户-（历史额度记录+A商品+A商品）等于A账户限制金额=消费成功【3个物品/购买3次/AAA】,罪犯1005,1451005,男,B监区一分监区,一级处遇等级{高},新收容,整体上账00002,A上账类型00201,50,整体上账00002,B上账类型00202,,,50,,,消费额度005,,30,,,所外配送仓库01,AB类型1号商品,123005,10,A类型2号商品,123002,10,A类型1号商品,123001,10
消费额度-当月有历史消费记录-金额/购物次数限制-A账户-（历史额度记录+A商品+A商品）小于A账户限制金额=消费成功【3个物品/购买3次/AAA】,罪犯1006,1451006,男,B监区一分监区,一级处遇等级{高},新收容,整体上账00002,A上账类型00201,50,整体上账00002,B上账类型00202,,,50,,,消费额度006,,30,,,所外配送仓库01,AB类型1号商品,123005,10,A类型2号商品,123002,10,A类型1号商品,123001,9
消费额度-当月有历史消费记录-金额/购物次数限制-B账户-（历史额度记录+B商品+B商品）大于B账户限制金额=消费失败【3个物品/购买3次/BBB】,罪犯1007,1451007,男,B监区一分监区,一级处遇等级{高},新收容,整体上账00002,A上账类型00201,,整体上账00002,B上账类型00202,50,,,50,,消费额度007,,,30,,所外配送仓库01,AB类型1号商品,123005,10,B类型2号商品,123004,10,B类型1号商品,123003,11
消费额度-当月有历史消费记录-金额/购物次数限制-B账户-（历史额度记录+B商品+B商品）等于B账户限制金额=消费成功【3个物品/购买3次/BBB】,罪犯1008,1451008,男,B监区一分监区,一级处遇等级{高},新收容,整体上账00002,A上账类型00201,,整体上账00002,B上账类型00202,50,,,50,,消费额度008,,,30,,所外配送仓库01,AB类型1号商品,123005,10,B类型2号商品,123004,10,B类型1号商品,123003,10
消费额度-当月有历史消费记录-金额/购物次数限制-B账户-（历史额度记录+B商品+B商品）小于B账户限制金额=消费成功【3个物品/购买3次/BBB】,罪犯1009,1451009,男,B监区一分监区,一级处遇等级{高},新收容,整体上账00002,A上账类型00201,,整体上账00002,B上账类型00202,50,,,50,,消费额度009,,,30,,所外配送仓库01,AB类型1号商品,123005,10,B类型2号商品,123004,10,B类型1号商品,123003,9
消费额度-当月有历史消费记录-金额/购物次数限制-购物次数-（历史购物次数记录+A商品购物次数+B商品购物次数）大于设置购物次数=消费失败【2/前A一次/后B一次】,罪犯1010,1451010,男,B监区一分监区,一级处遇等级{高},新收容,整体上账00002,A上账类型00201,30,整体上账00002,B上账类型00202,30,,,,4,消费额度010,,,,2,所外配送仓库01,A类型1号商品,123001,10,A类型2号商品,123002,10,B类型1号商品,123003,10
